Date,BTC,ETH,USDT,DOT,XRP,ADA,LINK,LTC,BCH,BNB
2016-02-26,432.1520080566406,5.921669960021973,1.0,0.0,0.008057929575443268,0.0,0.0,3.416790008544922,0.0,0.0,
2016-02-27,432.5190124511719,6.4258599281311035,1.0,0.0,0.007972230203449726,0.0,0.0,3.4128799438476562,0.0,0.0,
2016-02-28,433.5039978027344,6.468349933624268,1.0,0.0,0.007888900116086006,0.0,0.0,3.4418599605560303,0.0,0.0,
2016-02-29,437.6969909667969,6.336989879608154,1.0000200271606445,0.0,0.007922559976577759,0.0,0.0,3.4461100101470947,0.0,0.0,
2016-03-01,435.12298583984375,7.653689861297607,0.9999909996986389,0.0,0.008005660027265549,0.0,0.0,3.4329700469970703,0.0,0.0,
2016-03-02,423.989013671875,8.4653902053833,0.9999619722366333,0.0,0.008030179888010025,0.0,0.0,3.3650200366973877,0.0,0.0,
2016-03-03,421.6510009765625,9.294150352478027,0.9999989867210388,0.0,0.008161620236933231,0.0,0.0,3.3235299587249756,0.0,0.0,
2016-03-04,410.9389953613281,10.406000137329102,1.0,0.0,0.008096029981970787,0.0,0.0,3.250230073928833,0.0,0.0,
2016-03-05,400.57000732421875,11.003700256347656,1.0,0.0,0.00787791982293129,0.0,0.0,3.19215989112854,0.0,0.0,
2016-03-06,407.7070007324219,11.38290023803711,0.9999979734420776,0.0,0.007859550416469574,0.0,0.0,3.2216498851776123,0.0,0.0,
2016-03-07,414.3210144042969,9.552630424499512,0.9999979734420776,0.0,0.007917609997093678,0.0,0.0,3.2677500247955322,0.0,0.0,
2016-03-08,413.97198486328125,9.847209930419922,1.0,0.0,0.007949369959533215,0.0,0.0,3.2542200088500977,0.0,0.0,
2016-03-09,414.8599853515625,11.89799976348877,0.9998949766159058,0.0,0.008056280203163624,0.0,0.0,3.2798500061035156,0.0,0.0,
2016-03-10,417.1310119628906,11.305000305175781,0.9999939799308777,0.0,0.008190450258553028,0.0,0.0,3.2875499725341797,0.0,0.0,
2016-03-11,421.69000244140625,11.082799911499023,0.9999949932098389,0.0,0.008802779950201511,0.0,0.0,3.384700059890747,0.0,0.0,
2016-03-12,411.6239929199219,13.533300399780273,0.9998949766159058,0.0,0.00870025996118784,0.0,0.0,3.290179967880249,0.0,0.0,
2016-03-13,414.06500244140625,14.475000381469727,0.9999179840087891,0.0,0.00863523967564106,0.0,0.0,3.3073999881744385,0.0,0.0,
2016-03-14,416.43798828125,12.45259952545166,0.9999939799308777,0.0,0.008478960022330284,0.0,0.0,3.3035199642181396,0.0,0.0,
2016-03-15,416.8299865722656,13.010000228881836,1.0,0.0,0.008185720071196556,0.0,0.0,3.3057799339294434,0.0,0.0,
2016-03-16,417.010986328125,12.520899772644043,1.0,0.0,0.008178450167179108,0.0,0.0,3.309390068054199,0.0,0.0,
2016-03-17,420.6210021972656,11.081500053405762,0.999983012676239,0.0,0.008286580443382263,0.0,0.0,3.307389974594116,0.0,0.0,
2016-03-18,409.5480041503906,10.998100280761719,0.9999979734420776,0.0,0.008119259960949421,0.0,0.0,3.1698100566864014,0.0,0.0,
2016-03-19,410.4440002441406,10.530699729919434,0.9999979734420776,0.0,0.008015629835426807,0.0,0.0,3.1782500743865967,0.0,0.0,
2016-03-20,413.7550048828125,10.31980037689209,0.9999979734420776,0.0,0.007959729991853237,0.0,0.0,3.205549955368042,0.0,0.0,
2016-03-21,413.3070068359375,11.864100456237793,0.9999989867210388,0.0,0.008047079667448997,0.0,0.0,3.2009100914001465,0.0,0.0,
2016-03-22,418.0889892578125,11.274800300598145,0.9999989867210388,0.0,0.00811002030968666,0.0,0.0,3.23471999168396,0.0,0.0,
2016-03-23,418.0409851074219,12.41670036315918,0.9999989867210388,0.0,0.008331519551575184,0.0,0.0,3.242799997329712,0.0,0.0,
2016-03-24,416.3940124511719,11.234999656677246,0.9999719858169556,0.0,0.008230309933423996,0.0,0.0,3.2246999740600586,0.0,0.0,
2016-03-25,417.177001953125,10.743200302124023,1.0,0.0,0.008191079832613468,0.0,0.0,3.229069948196411,0.0,0.0,
2016-03-26,417.94500732421875,10.973999977111816,1.0,0.0,0.008065599948167801,0.0,0.0,3.230570077896118,0.0,0.0,
2016-03-27,426.7650146484375,10.41919994354248,1.0,0.0,0.008028630167245865,0.0,0.0,3.3036000728607178,0.0,0.0,
2016-03-28,424.2309875488281,11.665599822998047,1.0,0.0,0.007563630118966103,0.0,0.0,3.2640600204467773,0.0,0.0,
2016-03-29,416.5159912109375,11.656399726867676,1.0,0.0,0.007565690204501152,0.0,0.0,3.226330041885376,0.0,0.0,
2016-03-30,414.8160095214844,11.952899932861328,1.0,0.0,0.007331859786063433,0.0,0.0,3.219409942626953,0.0,0.0,
2016-03-31,416.72900390625,11.403499603271484,1.0,0.0,0.0073914797976613045,0.0,0.0,3.2570700645446777,0.0,0.0,
2016-04-01,417.9599914550781,11.663599967956543,1.0,0.0,0.007417810149490833,0.0,0.0,3.239949941635132,0.0,0.0,
2016-04-02,420.87298583984375,11.598899841308594,1.0,0.0,0.0075012999586761,0.0,0.0,3.2621099948883057,0.0,0.0,
2016-04-03,420.90399169921875,11.618300437927246,1.0,0.0,0.007502669934183359,0.0,0.0,3.2626800537109375,0.0,0.0,
2016-04-04,421.4440002441406,11.157299995422363,1.0,0.0,0.007491120137274265,0.0,0.0,3.2505900859832764,0.0,0.0,
2016-04-05,424.0299987792969,10.43809986114502,1.0,0.0,0.007474179845303297,0.0,0.0,3.251650094985962,0.0,0.0,
2016-04-06,423.4129943847656,10.685400009155273,1.0000200271606445,0.0,0.007296179886907339,0.0,0.0,3.255929946899414,0.0,0.0,
2016-04-07,422.7449951171875,10.069700241088867,1.0000200271606445,0.0,0.006875489838421345,0.0,0.0,3.2453200817108154,0.0,0.0,
2016-04-08,420.3489990234375,9.719590187072754,1.0,0.0,0.006670769769698381,0.0,0.0,3.2202699184417725,0.0,0.0,
2016-04-09,419.4110107421875,9.150620460510254,1.0,0.0,0.006287619937211275,0.0,0.0,3.216200113296509,0.0,0.0,
2016-04-10,421.5639953613281,8.93634033203125,1.0,0.0,0.005936970002949238,0.0,0.0,3.226989984512329,0.0,0.0,
2016-04-11,422.4830017089844,8.643790245056152,0.9998610019683838,0.0,0.006048259790986776,0.0,0.0,3.241770029067993,0.0,0.0,
2016-04-12,425.19000244140625,7.442309856414795,1.0,0.0,0.0058850799687206745,0.0,0.0,3.257319927215576,0.0,0.0,
2016-04-13,423.7340087890625,8.04442024230957,1.0,0.0,0.005694679915904999,0.0,0.0,3.2388598918914795,0.0,0.0,
2016-04-14,424.2820129394531,8.387240409851074,1.0,0.0,0.006288589909672737,0.0,0.0,3.239609956741333,0.0,0.0,
2016-04-15,429.7130126953125,8.242779731750488,1.0,0.0,0.00642381003126502,0.0,0.0,3.278830051422119,0.0,0.0,
2016-04-16,430.5719909667969,8.60949993133545,1.0,0.0,0.00651005981490016,0.0,0.0,3.273819923400879,0.0,0.0,
2016-04-17,427.39898681640625,9.309100151062012,1.0,0.0,0.0064992099069058895,0.0,0.0,3.25777006149292,0.0,0.0,
2016-04-18,428.59100341796875,9.03600025177002,1.0,0.0,0.006986930035054684,0.0,0.0,3.2403900623321533,0.0,0.0,
2016-04-19,435.5090026855469,8.714879989624023,1.0,0.0,0.007118340115994215,0.0,0.0,3.285170078277588,0.0,0.0,
2016-04-20,441.3890075683594,8.465789794921875,1.0,0.0,0.0072440798394382,0.0,0.0,3.2783799171447754,0.0,0.0,
2016-04-21,449.42498779296875,8.10216999053955,1.0,0.0,0.007433449849486351,0.0,0.0,3.346400022506714,0.0,0.0,
2016-04-22,445.73699951171875,7.82125997543335,1.0,0.0,0.007283839862793684,0.0,0.0,3.319269895553589,0.0,0.0,
2016-04-23,450.2820129394531,8.294790267944336,1.0,0.0,0.007346440106630325,0.0,0.0,3.33447003364563,0.0,0.0,
2016-04-24,458.55499267578125,8.001350402832031,1.0,0.0,0.007251389790326357,0.0,0.0,3.6318299770355225,0.0,0.0,
2016-04-25,461.4259948730469,7.55433988571167,1.0,0.0,0.007283070124685764,0.0,0.0,3.8117198944091797,0.0,0.0,
2016-04-26,466.0889892578125,7.397039890289307,1.0,0.0,0.007095229811966419,0.0,0.0,4.04580020904541,0.0,0.0,
2016-04-27,444.68701171875,7.759970188140869,1.0,0.0,0.00672469986602664,0.0,0.0,3.889709949493408,0.0,0.0,
2016-04-28,449.010986328125,7.172530174255371,1.0,0.0,0.006686420179903507,0.0,0.0,3.7885000705718994,0.0,0.0,
2016-04-29,455.09698486328125,7.457290172576904,1.0,0.0,0.006759290117770433,0.0,0.0,3.8136000633239746,0.0,0.0,
2016-04-30,448.3179931640625,8.813980102539062,1.0,0.0,0.006811860017478466,0.0,0.0,3.659749984741211,0.0,0.0,
2016-05-01,451.875,8.846500396728516,1.0,0.0,0.006791300140321255,0.0,0.0,3.705199956893921,0.0,0.0,
2016-05-02,444.66900634765625,10.163200378417969,1.0,0.0,0.006714109797030687,0.0,0.0,3.680310010910034,0.0,0.0,
2016-05-03,450.3039855957031,9.311269760131836,1.0,0.0,0.006560000125318766,0.0,0.0,3.740910053253174,0.0,0.0,
2016-05-04,446.72198486328125,9.413769721984863,1.0,0.0,0.006322780158370733,0.0,0.0,3.7467899322509766,0.0,0.0,
2016-05-05,447.97601318359375,9.82610034942627,1.0,0.0,0.0061927298083901405,0.0,0.0,3.7138500213623047,0.0,0.0,
2016-05-06,459.6029968261719,9.346639633178711,1.0,0.0,0.0063985800370574,0.0,0.0,3.8221099376678467,0.0,0.0,
2016-05-07,458.5360107421875,9.37051010131836,1.0,0.0,0.006489589810371399,0.0,0.0,3.9534499645233154,0.0,0.0,
2016-05-08,458.5480041503906,9.482930183410645,1.0,0.0,0.006403840146958828,0.0,0.0,3.9381399154663086,0.0,0.0,
2016-05-09,460.4830017089844,9.297730445861816,1.0,0.0,0.006398799829185009,0.0,0.0,4.056429862976074,0.0,0.0,
2016-05-10,450.8949890136719,9.361519813537598,1.0,0.0,0.006272430066019297,0.0,0.0,3.819149971008301,0.0,0.0,
2016-05-11,452.7279968261719,9.9962797164917,1.0,0.0,0.006188500206917524,0.0,0.0,3.882270097732544,0.0,0.0,
2016-05-12,454.7659912109375,10.05780029296875,1.0,0.0,0.006167060229927301,0.0,0.0,3.856800079345703,0.0,0.0,
2016-05-13,455.6700134277344,10.506600379943848,1.0032600164413452,0.0,0.006109429989010096,0.0,0.0,3.925679922103882,0.0,0.0,
2016-05-14,455.6709899902344,10.239700317382812,1.0035799741744995,0.0,0.006073419936001301,0.0,0.0,4.010119915008545,0.0,0.0,
2016-05-15,457.5679931640625,9.962349891662598,1.0,0.0,0.006060710176825523,0.0,0.0,4.063119888305664,0.0,0.0,
2016-05-16,454.1629943847656,11.171299934387207,1.0,0.0,0.006021929904818535,0.0,0.0,4.006529808044434,0.0,0.0,
2016-05-17,453.7829895019531,12.198800086975098,1.0,0.0,0.00602320022881031,0.0,0.0,3.9831299781799316,0.0,0.0,
2016-05-18,454.6189880371094,13.558600425720215,1.0,0.0,0.006028370000422001,0.0,0.0,4.003220081329346,0.0,0.0,
2016-05-19,438.7149963378906,14.769700050354004,1.0,0.0,0.006032169796526432,0.0,0.0,3.8333899974823,0.0,0.0,
2016-05-20,442.6759948730469,13.635600090026855,1.0,0.0,0.006083779968321323,0.0,0.0,3.881010055541992,0.0,0.0,
2016-05-21,443.18798828125,14.015000343322754,1.0,0.0,0.005989700090140104,0.0,0.0,3.9544899463653564,0.0,0.0,
2016-05-22,439.322998046875,14.286100387573242,1.0,0.0,0.005936299916356802,0.0,0.0,3.9296998977661133,0.0,0.0,
2016-05-23,444.1549987792969,13.46150016784668,1.0,0.0,0.005909089930355549,0.0,0.0,3.9681899547576904,0.0,0.0,
2016-05-24,445.9809875488281,12.7322998046875,1.0000200271606445,0.0,0.0059618400409817696,0.0,0.0,3.9514100551605225,0.0,0.0,
2016-05-25,449.5989990234375,12.526000022888184,1.0,0.0,0.005755960009992123,0.0,0.0,4.045660018920898,0.0,0.0,
2016-05-26,453.3840026855469,12.430399894714355,1.0,0.0,0.005668940022587776,0.0,0.0,4.082469940185547,0.0,0.0,
2016-05-27,473.4639892578125,11.29580020904541,1.0,0.0,0.005679219961166382,0.0,0.0,4.5013298988342285,0.0,0.0,
2016-05-28,530.0399780273438,11.892900466918945,1.0,0.0,0.005681669805198908,0.0,0.0,4.700679779052734,0.0,0.0,
2016-05-29,526.2329711914062,12.3503999710083,1.0,0.0,0.00566249992698431,0.0,0.0,4.609620094299316,0.0,0.0,
2016-05-30,533.864013671875,12.725299835205078,1.0,0.0,0.005748180206865072,0.0,0.0,4.670869827270508,0.0,0.0,
2016-05-31,531.385986328125,14.077300071716309,1.0,0.0,0.0057061598636209965,0.0,0.0,4.650390148162842,0.0,0.0,
2016-06-01,536.9199829101562,14.001500129699707,1.0,0.0,0.005809389986097813,0.0,0.0,4.740990161895752,0.0,0.0,
2016-06-02,537.9719848632812,13.73799991607666,1.0,0.0,0.005765609908849001,0.0,0.0,4.715050220489502,0.0,0.0,
2016-06-03,569.1939697265625,13.846699714660645,1.0,0.0,0.005826590117067099,0.0,0.0,4.8609700202941895,0.0,0.0,
2016-06-04,572.7269897460938,13.740400314331055,1.0,0.0,0.005780179984867573,0.0,0.0,4.808040142059326,0.0,0.0,
2016-06-05,574.9769897460938,13.975000381469727,1.0,0.0,0.005795840173959732,0.0,0.0,4.812910079956055,0.0,0.0,
2016-06-06,585.5369873046875,13.934100151062012,1.0,0.0,0.005769229959696531,0.0,0.0,4.959159851074219,0.0,0.0,
2016-06-07,576.5969848632812,14.51200008392334,1.0,0.0,0.005779619794338942,0.0,0.0,4.770780086517334,0.0,0.0,
