date, open, high, low, close, volume
2020-08-22,2.87857004326,4.51061338901,2.81676185336,4.48469014343,485801095
2020-08-23,4.48705836489,4.48705836489,3.71627105392,3.96706569209,320749483
2020-08-24,3.98741349226,4.78315823996,3.81266951913,4.60261415178,407690170
2020-08-25,4.58495324614,5.76077535015,4.50122274573,5.52339300736,898847538
2020-08-26,5.54140585585,6.55468826139,5.13620529549,6.08171646879,1054351759
2020-08-27,6.07577223774,6.78917991364,5.31392627262,5.62833735301,1289248953
2020-08-28,5.63948557226,6.33374606123,5.54096300109,6.15995475836,727162235
2020-08-29,6.17592465036,6.56290582908,6.04230882692,6.15914322499,527290028
2020-08-30,6.15343993195,6.21950641987,5.74997752639,5.86988080945,485335136
2020-08-31,5.90591758819,6.45937678622,5.77296604812,6.30002021459,512604781
2020-09-01,6.29880990464,6.83889839093,6.17232394775,6.28876657493,601527408
2020-09-02,6.28268621292,6.43265240556,5.65744178513,6.13946524066,584155027
2020-09-03,6.13117930425,6.31807931132,5.68259015342,5.74786775393,763663456
2020-09-04,5.72661017838,5.98139481181,4.62672016007,5.14603789173,845787793
2020-09-05,5.13603338064,5.31178363002,3.65346785226,4.12231259687,805800384
2020-09-06,4.13703192585,4.9016495889,3.75974530438,4.79946793988,924160481
2020-09-07,4.79604779842,4.82000337516,4.03263336873,4.59466864471,675375182
2020-09-08,4.58895847934,4.61644016353,4.11959532766,4.27432445417,519440288
2020-09-09,4.28286809977,4.79672340745,4.15887274621,4.7089389523,534097093
2020-09-10,4.7098494372,4.87014051233,4.47129482253,4.58158432405,633577673
2020-09-11,4.57984788409,4.74811022024,4.3171298181,4.64556662846,633472139
2020-09-12,4.65060204942,5.2801564443,4.51601890336,5.13703693238,753745736
2020-09-13,5.14504128492,5.47880118415,4.80682563725,5.29795089208,1099475714
2020-09-14,5.29641992598,5.60278216192,5.12642457586,5.34870930493,1008259712
2020-09-15,5.36662597088,5.45191673581,5.09570589956,5.09570589956,897864383
2020-09-16,5.06896260716,5.28132266974,4.98621122677,5.08032210406,792360520
2020-09-17,5.08032210406,5.41767106568,5.06174676491,5.33630111171,776350363
2020-09-18,5.34170931259,5.4591393806,5.10855329866,5.24576354638,683398179
2020-09-19,5.25323704402,5.25569082766,4.82498328096,4.92541065463,605268040
2020-09-20,4.92891513847,4.9744662855,4.42491784433,4.67244901762,798507890
2020-09-21,4.67244901762,4.70090265319,3.95047641615,4.09459740125,1096736656
2020-09-22,4.08540181432,4.20859619132,3.91822509547,4.17446304487,673117343
2020-09-23,4.16855388,4.31589082,3.97410084,4.03141516,557062766
2020-09-24,4.02136775,4.39995006,3.99318391,4.38197305,437573445
2020-09-25,4.37626455,4.52789841,4.26206226,4.42095446,425191119
2020-09-26,4.42224712,4.46401668,4.2425426,4.34766168,329745176
2020-09-27,4.34038273,4.36219225,4.16051801,4.31028125,316361927
2020-09-28,4.30243663,4.58297971,4.27012712,4.39786057,543507456
2020-09-29,4.42175762,4.60288724,4.35814665,4.50045212,508965929
2020-09-30,4.5029078,4.5029078,4.25363888,4.34978056,378446619
2020-10-01,4.35096756,4.58343031,4.25738199,4.34383142,445143707
2020-10-02,4.34450396,4.35854472,3.93316154,4.12317927,554916297
2020-10-03,4.12732162,4.13151263,4.03811866,4.07004647,361964763
2020-10-04,4.06763299,4.19549358,4.02151674,4.17391126,286356968
2020-10-05,4.18127259,4.23352845,4.12023205,4.17269979,332264663
2020-10-06,4.16927135,4.18200208,3.64568094,3.75616173,662270710
2020-10-07,3.75345569,3.87770316,3.62027134,3.85879757,629063455
2020-10-08,3.85762533,4.16000962,3.66464088,4.10264234,614223110
2020-10-09,4.1118526,4.3519417,4.02002285,4.26246761,491506581
2020-10-10,4.26040695,4.47580068,4.23972928,4.25295528,492038159
2020-10-11,4.25869866,4.33436964,4.17862061,4.26216216,388098954
2020-10-12,4.25573928,4.43700326,4.20790264,4.31994798,489608532
2020-10-13,4.31607875,4.34451373,4.15770655,4.24940015,420659946
2020-10-14,4.25553051,4.35809785,4.09373446,4.19911439,520198619
2020-10-15,4.19229289,4.19229289,4.03381124,4.09681088,450623089
2020-10-16,4.10002446,4.1571084,3.83991198,3.90952943,443295515
2020-10-17,3.91712827,3.97736805,3.8716104,3.96725217,206453737
2020-10-18,3.96836011,4.12171798,3.96001225,4.1046509,204108300
2020-10-19,4.11096489,4.11124377,3.9641658,3.99059237,249983724
2020-10-20,3.98968963,4.13819549,3.87563877,3.91034337,502694692
2020-10-21,3.90600385,4.24558051,3.90534078,4.14111972,458018406
2020-10-22,4.14091473,4.33187496,4.1316499,4.26894964,367309225
2020-10-23,4.27390904,4.47415712,4.20227598,4.2668497,461816707
2020-10-24,4.26685298,4.4309251,4.24464275,4.35534397,310306551
2020-10-25,4.35534397,4.44723966,4.26793836,4.33523061,339106539
2020-10-26,4.33523115,4.73870836,4.30417111,4.72701624,722990809
2020-10-27,4.72701627,4.92778012,4.66053578,4.68395195,820401908
2020-10-28,4.68395355,4.77425197,4.26227648,4.36509669,649971737
2020-10-29,4.36509803,4.40378108,3.87925149,4.05334477,686597328
2020-10-30,4.05327784,4.1567611,3.93718717,4.08811312,586577443
2020-10-31,4.0881861,4.27423096,4.07273564,4.18176751,318678917
2020-11-01,4.18167307,4.22561493,4.12206332,4.22561493,302861123
2020-11-02,4.22576921,4.26160818,3.98563069,4.0302315,503474044
2020-11-03,4.03022899,4.06516097,3.88636969,4.02546848,413471120
2020-11-04,4.02547346,4.14728105,3.89419012,4.09808333,836536271
2020-11-05,4.09808406,4.29735366,4.02567638,4.23519485,375265287
2020-11-06,4.2351967,4.63396518,4.20679887,4.57965191,463200955
2020-11-07,4.57965191,4.8383977,4.10651432,4.24195952,724809168
2020-11-08,4.24195952,4.42657414,4.14264442,4.37209313,393903989
2020-11-09,4.37209282,4.45768447,4.25032719,4.34676728,396903279
2020-11-10,4.34676604,4.49828402,4.30889239,4.41501638,379322634
2020-11-11,4.41501786,4.62040428,4.41501786,4.4572018,404513889
2020-11-12,4.45720124,4.47158639,4.32039652,4.39924024,367161906
2020-11-13,4.39924057,4.5850208,4.3741268,4.5401198,342519103
2020-11-14,4.5401198,4.55085661,4.37052654,4.4656222,331350626
2020-11-15,4.4656222,4.4914761,4.30956438,4.37998835,325439057
2020-11-16,4.37998837,4.58954238,4.34586358,4.48549978,445672647
2020-11-17,4.60851823,4.91090672,4.56673089,4.84466572,675069949
2020-11-18,4.84466781,4.92770963,4.52683822,4.67966267,671452167
2020-11-19,4.6796579,4.84830787,4.54736358,4.7567662,551607999
2020-11-20,4.75675938,5.45979635,4.75243484,5.23343571,1027776286
2020-11-21,5.23343578,5.80604287,5.14174493,5.75192122,1022750932
2020-11-22,5.75192122,5.83437499,5.22339427,5.48185289,1048639985
2020-11-23,5.4818537,5.93907758,5.4224792,5.9069321,997956276
2020-11-24,5.90790609,6.07569416,5.62448412,5.72944635,1113438978
2020-11-25,5.72933505,5.81634992,5.18307308,5.30985986,1011116413
2020-11-26,5.30862451,5.36575883,4.45948111,4.80457692,1433368624
2020-11-27,4.80589982,5.06801663,4.52234416,4.78279012,864684858
2020-11-28,4.78354787,4.94454565,4.67918324,4.90047564,415083876
2020-11-29,4.90107881,5.20043548,4.81423285,5.19035218,451787953
2020-11-30,5.19030706,5.43708402,5.14636224,5.37643011,649773393
2020-12-01,5.37725445,5.53034605,5.01844081,5.09356673,777715514
2020-12-02,5.09346735,5.53200217,5.03074704,5.46415704,607216780
2020-12-03,5.46474445,5.56402352,5.33820734,5.41036865,354593131
2020-12-04,5.41014687,5.43447429,4.97195277,5.03271351,422944392
2020-12-05,5.02970369,5.19021887,4.89215978,5.18890299,408952852
2020-12-06,5.18795949,5.20137924,5.00924389,5.135868,299285627
2020-12-07,5.1349856,5.15435519,5.01877917,5.06032011,242900962
2020-12-08,5.06063351,5.06721193,4.71273972,4.73334726,398505416
2020-12-09,4.73314939,4.93630341,4.62830856,4.8618969,477599466
2020-12-10,4.86369986,4.91251239,4.74941748,4.7975962,299121449
2020-12-11,4.79805994,4.80492402,4.54607415,4.62105182,366039075
2020-12-12,4.61978559,4.79778252,4.61532501,4.74045424,282782416
2020-12-13,4.74072494,4.99499977,4.73516407,4.89121198,280953203
2020-12-14,4.89150508,5.00222486,4.83501587,4.89808222,204385756
2020-12-15,4.89790732,5.28255265,4.85438298,5.24960699,354033041
2020-12-16,5.2488246,5.3618897,5.12476712,5.35931366,508481878
2020-12-17,5.35930384,5.72620804,5.29248414,5.34396751,863948411
2020-12-18,5.34419463,5.50385148,5.25878558,5.36764091,607402855
2020-12-19,5.36705971,5.56725355,5.28772665,5.33894511,517648631
2020-12-20,5.33888153,5.42929049,5.09057437,5.18847554,519415555
2020-12-21,5.18823768,5.4122789,4.80644287,4.89054553,665375357
2020-12-22,4.88816092,5.17323987,4.81480669,5.15482991,697260531
2020-12-23,5.15447351,5.18418968,4.61913329,4.71061346,665441294
2020-12-24,4.71197661,5.19615572,4.65531234,5.12882058,646511051
2020-12-25,5.12784582,5.27200599,5.0434508,5.21421049,512565394
2020-12-26,5.21489519,5.27387414,5.0939321,5.18218102,484934517
2020-12-27,5.18195938,5.3944387,4.95218462,5.13619073,784179880
2020-12-28,5.13639127,6.6447538,5.12208394,6.5888218,1746628677
2020-12-29,6.58275357,7.60713593,6.19806569,7.51925703,2717983832
2020-12-30,7.51916021,7.6514477,7.08811299,7.25430008,2059017628
2020-12-31,7.2505681,9.43012996,7.16996048,9.29250771,2751292066
2021-01-01,9.28818018,9.41658697,8.12019359,8.30681869,2791211123
2021-01-02,8.30549192,9.76133483,7.94329035,9.20883657,3049232406
2021-01-03,9.20964777,10.45749316,8.87336163,10.03328252,3032883074
2021-01-04,10.06204809,10.50556452,8.77720999,9.46961118,2893262629
2021-01-05,9.4758016,10.041344,9.08426331,9.70165565,2080742171
2021-01-06,9.70711269,10.3715982,9.48974265,10.09606799,2382484174
2021-01-07,10.09401413,10.62900489,9.49640177,9.64458538,2521342760
2021-01-08,9.64512594,9.79544873,8.86168449,9.30713511,2350202787
2021-01-09,9.30577328,9.82315065,9.05346608,9.77776543,1478813229
2021-01-10,9.77731794,9.99455295,8.75295111,9.30504759,1603968712
2021-01-11,9.3046542,9.3046542,7.22859045,8.27643995,3251043299
2021-01-12,8.27225943,8.61610415,7.97365285,8.26414763,1918790089
2021-01-13,8.26511159,11.2997456,7.98951889,10.95771005,2915711372
2021-01-14,10.94787585,14.54970333,10.92501202,14.5390503,5405054868
2021-01-15,14.52252001,14.85537724,11.85157894,13.21238089,6159630996
2021-01-16,13.19804993,19.32206214,13.18575448,18.18042437,8917081506
2021-01-17,18.15034209,18.15034209,16.40896057,16.98425436,6091648732
2021-01-18,16.9970155,18.10170615,15.82463038,16.51292725,3888179751
2021-01-19,16.52107766,17.46754468,16.0483279,16.46850969,3414422602
2021-01-20,16.45249684,18.12574402,14.83346915,17.94893082,4624508717
2021-01-21,17.97941492,18.06077054,15.05248231,15.94483794,4843725549
2021-01-22,15.93100806,17.98386443,14.89192568,17.16144057,2991599975
2021-01-23,17.15959053,18.75369846,16.87032158,18.59819899,2842317183
2021-01-24,18.60063423,18.7245281,17.3805254,17.99964968,2800444853
2021-01-25,17.99759425,19.05194556,17.11970836,17.25045506,3351498659
2021-01-26,17.24464759,17.76909839,16.07543158,17.11776161,2588253411
2021-01-27,17.11611272,17.11611272,15.08426589,15.50486144,2973163193
2021-01-28,15.49823697,16.92533556,15.35657055,16.8591365,3192851611
2021-01-29,17.10266916,17.64278951,16.03200117,16.8416124,3657663582
2021-01-30,16.83674926,17.05015533,16.16195006,16.50690794,1998709419
2021-01-31,16.5115788,17.45610132,15.81397223,16.12131511,2540474629
2021-02-01,16.12302274,16.51658306,15.74336417,16.37577622,2228986207
2021-02-02,16.38133508,17.60391837,16.03933267,17.26325602,2658383685
